Objetivo PND,Meta ODS,Vinculación,PND_subgrupo,ODS_subgrupo,ODS_grupo,PND_grupo
"1.1.13 Avanzar hacia la igualdad real y efectiva, eliminando la discriminación hacia las mujeres.",5.c Aprobar y fortalecer políticas acertadas y leyes aplicables para promover la igualdad de género y el empoderamiento de todas las mujeres y las niñas a todos los niveles,Parcial,PND_1_1_13,ODS_5_c,ODS_05,PND_1_1
"1.1.14 Proteger y promover el Patrimonio, los Bienes y Procesos Culturales.",11.4 Redoblar los esfuerzos para proteger y salvaguardar el patrimonio cultural y natural del mundo,Total,PND_1_1_14,ODS_11_4,ODS_11,PND_1_1
1.1.2. Reducir la pobreza en todas sus formas.,"1.1 Para 2030, erradicar la pobreza extrema para todas las personas en el mundo, actualmente medida por un ingreso por persona inferior a 1,25 dólares de los Estados Unidos al día",Parcial,PND_1_1_2,ODS_1_1,ODS_01,PND_1_1
1.1.2. Reducir la pobreza en todas sus formas.,"1.2 Para 2030, reducir al menos a la mitad la proporción de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones con arreglo a las definiciones nacionales",Total,PND_1_1_2,ODS_1_2,ODS_01,PND_1_1
1.1.3. Disminuir las condiciones de desigualdad de los diferentes estratos poblacionales.,"10.3 Garantizar la igualdad de oportunidades y reducir la desigualdad de resultados, incluso eliminando las leyes, políticas y prácticas discriminatorias y promoviendo legislaciones, políticas y medidas adecuadas a ese respecto",Parcial,PND_1_1_3,ODS_10_3,ODS_10,PND_1_1
1.1.4 Aumentar la cobertura y la retención del sistema educativo.,"4.3 De aquí a 2030, asegurar el acceso igualitario de todos los hombres y las mujeres a una formación técnica, profesional y superior de calidad, incluida la enseñanza universitaria",Parcial,PND_1_1_4,ODS_4_3,ODS_04,PND_1_1
1.1.4. Aumentar la cobertura y la retención del sistema educativo.,"4.1 De aquí a 2030, asegurar que todas las niñas y todos los niños terminen la enseñanza primaria y secundaria, que ha de ser gratuita, equitativa y de calidad y producir resultados de aprendizaje pertinentes y efectivos",Parcial,PND_1_1_4,ODS_4_1,ODS_04,PND_1_1
1.1.4. Aumentar la cobertura y la retención del sistema educativo.,"4.2 De aquí a 2030, asegurar que todas las niñas y todos los niños tengan acceso a servicios de atención y desarrollo en la primera infancia y educación preescolar de calidad, a fin de que estén preparados para la enseñanza primaria",Parcial,PND_1_1_4,ODS_4_2,ODS_04,PND_1_1
1.1.4. Aumentar la cobertura y la retención del sistema educativo.,"4.6 De aquí a 2030, asegurar que todos los jóvenes y una proporción considerable de los adultos, tanto hombres como mujeres, estén alfabetizados y tengan nociones elementales de aritmética",Parcial,PND_1_1_4,ODS_4_6,ODS_04,PND_1_1
1.1.5 Aumentar la retención en el sistema de educación escolar básica en la población indígena.,"10.2 De aquí a 2030, potenciar y promover la inclusión social, económica y política de todas las personas, independientemente de su edad, sexo, discapacidad, raza, etnia, origen, religión o situación económica u otra condición",Parcial,PND_1_1_5,ODS_10_2,ODS_10,PND_1_1
1.1.5 Aumentar la retención en el sistema de educación escolar básica en la población indígena.,"4.1 De aquí a 2030, asegurar que todas las niñas y todos los niños terminen la enseñanza primaria y secundaria, que ha de ser gratuita, equitativa y de calidad y producir resultados de aprendizaje pertinentes y efectivos",Parcial,PND_1_1_5,ODS_4_1,ODS_04,PND_1_1
1.1.5 Aumentar la retención en el sistema de educación escolar básica en la población indígena.,"4.5 De aquí a 2030, eliminar las disparidades de género en la educación y asegurar el acceso igualitario a todos los niveles de la enseñanza y la formación profesional para las personas vulnerables, incluidas las personas con discapacidad, los pueblos indígenas y los niños en situaciones de vulnerabilidad",Parcial,PND_1_1_5,ODS_4_5,ODS_04,PND_1_1
1.1.6 Disminuir el analfabetismo en la población indígena.,"4.6 De aquí a 2030, asegurar que todos los jóvenes y una proporción considerable de los adultos, tanto hombres como mujeres, estén alfabetizados y tengan nociones elementales de aritmética",Parcial,PND_1_1_6,ODS_4_6,ODS_04,PND_1_1
1.1.7 Reducir la desnutrición crónica infantil.,"2.1 Para 2030, poner fin al hambre y asegurar el acceso de todas las personas, en particular los pobres y las personas en situaciones vulnerables, incluidos los lactantes, a una alimentación sana, nutritiva y suficiente durante todo el año",Parcial,PND_1_1_7,ODS_2_1,ODS_02,PND_1_1
1.1.7 Reducir la desnutrición crónica infantil.,"2.2 Para 2030, poner fin a todas las formas de malnutrición, incluso logrando, a más tardar en 2025, las metas convenidas internacionalmente sobre el retraso del crecimiento y la emaciación de los niños menores de 5 años, y abordar las necesidades de nutrición de las adolescentes, las mujeres embarazadas y lactantes y las personas de edad",Parcial,PND_1_1_7,ODS_2_2,ODS_02,PND_1_1
"1.1.8 Reducir el SIDA, la tuberculosis, las enfermedades tropicales desatendidas y la hepatitis. ","3.3 Para 2030, poner fin a las epidemias del SIDA, la tuberculosis, la malaria y las enfermedades tropicales desatendidas y combatir la hepatitis, las enfermedades transmitidas por el agua y otras enfermedades transmisibles",Parcial,PND_1_1_8,ODS_3_3,ODS_03,PND_1_1
"1.1.9 Reducir la mortalidad materna con énfasis en grupos vulnerables (población indígena, adolescentes).","3.1 Para 2030, reducir la tasa mundial de mortalidad materna a menos de 70 por cada 100.000 nacidos vivos",Total,PND_1_1_9,ODS_3_1,ODS_03,PND_1_1
1.2.1 Alcanzar gradualmente los estándares internacionales de calidad educativa en todos los niveles.,"4.1 De aquí a 2030, asegurar que todas las niñas y todos los niños terminen la enseñanza primaria y secundaria, que ha de ser gratuita, equitativa y de calidad y producir resultados de aprendizaje pertinentes y efectivos",Parcial,PND_1_2_1,ODS_4_1,ODS_04,PND_1_2
1.2.1 Alcanzar gradualmente los estándares internacionales de calidad educativa en todos los niveles.,"4.3 De aquí a 2030, asegurar el acceso igualitario de todos los hombres y las mujeres a una formación técnica, profesional y superior de calidad, incluida la enseñanza universitaria",Parcial,PND_1_2_1,ODS_4_3,ODS_04,PND_1_2
"1.2.2 Lograr la cobertura total del servicio de salud, con calidad","3.8 Lograr la cobertura sanitaria universal, en particular la protección contra los riesgos financieros, el acceso a servicios de salud esenciales de calidad y el acceso a medicamentos y vacunas seguros, eficaces, asequibles y de calidad para todos",Total,PND_1_2_2,ODS_3_8,ODS_03,PND_1_2
"1.2.2 Lograr la cobertura total del servicio de salud, con calidad","3.c Aumentar sustancialmente la financiación de la salud y la contratación, el desarrollo, la capacitación y la retención del personal sanitario en los países en desarrollo, especialmente en los países menos adelantados y los pequeños Estados insulares en desarrollo",Parcial,PND_1_2_2,ODS_3_c,ODS_03,PND_1_2
"1.2.4 Disminuir las muertes prematuras por enfermedades no transmisibles, promover el bienestar y la salud mental.","3.4 Para 2030, reducir en un tercio la mortalidad prematura por enfermedades no transmisibles mediante la prevención y el tratamiento y promover la salud mental y el bienestar",Total,PND_1_2_4,ODS_3_4,ODS_03,PND_1_2
1.2.5 Reducir el número de muertes y lesiones causadas por accidentes de tránsito.,"3.6  Para 2020, reducir a la mitad el número de muertes y lesiones causadas por accidentes de tráfico en el mundo",Total,PND_1_2_5,ODS_3_6 ,ODS_03,PND_1_2
1.3.1 Mejorar las condiciones de los asentamientos precarios urbanos y rurales.,"11.1 De aquí a 2030, asegurar el acceso de todas las personas a viviendas y servicios básicos adecuados, seguros y asequibles y mejorar los barrios marginales",Parcial,PND_1_3_1,ODS_11_1,ODS_11,PND_1_3
1.3.1 Mejorar las condiciones de los asentamientos precarios urbanos y rurales.,"11.3 De aquí a 2030, aumentar la urbanización inclusiva y sostenible y la capacidad para la planificación y la gestión participativas, integradas y sostenibles de los asentamientos humanos en todos los países",Parcial,PND_1_3_1,ODS_11_3,ODS_11,PND_1_3
1.3.2 Avanzar en el Ordenamiento Territorial a nivel municipal.,"11.3 De aquí a 2030, aumentar la urbanización inclusiva y sostenible y la capacidad para la planificación y la gestión participativas, integradas y sostenibles de los asentamientos humanos en todos los países",Parcial,PND_1_3_2,ODS_11_3,ODS_11,PND_1_3
1.3.2 Avanzar en el Ordenamiento Territorial a nivel municipal.,"11.a Apoyar los vínculos económicos, sociales y ambientales positivos entre las zonas urbanas, periurbanas y rurales fortaleciendo la planificación del desarrollo nacional y regional",Parcial,PND_1_3_2,ODS_11_a,ODS_11,PND_1_3
1.3.3 Mejorar la participación de la población en la planificación de la gestión de las políticas publicas,"11.3 De aquí a 2030, aumentar la urbanización inclusiva y sostenible y la capacidad para la planificación y la gestión participativas, integradas y sostenibles de los asentamientos humanos en todos los países",Parcial,PND_1_3_3,ODS_11_3,ODS_11,PND_1_3
1.3.3 Mejorar la participación de la población en la planificación de la gestión de las políticas publicas,"11.a Apoyar los vínculos económicos, sociales y ambientales positivos entre las zonas urbanas, periurbanas y rurales fortaleciendo la planificación del desarrollo nacional y regional",Parcial,PND_1_3_3,ODS_11_a,ODS_11,PND_1_3
1.3.3 Mejorar la participación de la población en la planificación de la gestión de las políticas publicas,"11.b De aquí a 2020, aumentar considerablemente el número de ciudades y asentamientos humanos que adoptan e implementan políticas y planes integrados para promover la inclusión, el uso eficiente de los recursos, la mitigación del cambio climático y la adaptación a él y la resiliencia ante los desastres, y desarrollar y poner en práctica, en consonancia con el Marco de Sendai para la Reducción del Riesgo de Desastres 2015-2030, la gestión integral de los riesgos de desastre a todos los niveles",Parcial,PND_1_3_3,ODS_11_b,ODS_11,PND_1_3
1.3.3 Mejorar la participación de la población en la planificación de la gestión de las políticas publicas,"16.7 Garantizar la adopción en todos los niveles de decisiones inclusivas, participativas y representativas que respondan a las necesidades",Total,PND_1_3_3,ODS_16_7,ODS_16,PND_1_3
1.3.3 Mejorar la participación de la población en la planificación de la gestión de las políticas publicas,6.b Apoyar y fortalecer la participación de las comunidades locales en la mejora de la gestión del agua y el saneamiento,Parcial,PND_1_3_3,ODS_6_b,ODS_06,PND_1_3
1.4.1 Mejorar la gestión integral de residuos.,"11.6 De aquí a 2030, reducir el impacto ambiental negativo per cápita de las ciudades, incluso prestando especial atención a la calidad del aire y la gestión de los desechos municipales y de otro tipo",Parcial,PND_1_4_1,ODS_11_6,ODS_11,PND_1_4
1.4.1 Mejorar la gestión integral de residuos.,"12.4 De aquí a 2020, lograr la gestión ecológicamente racional de los productos químicos y de todos los desechos a lo largo de su ciclo de vida, de conformidad con los marcos internacionales convenidos, y reducir significativamente su liberación a la atmósfera, el agua y el suelo a fin de minimizar sus efectos adversos en la salud humana y el medio ambiente",Parcial,PND_1_4_1,ODS_12_4,ODS_12,PND_1_4
1.4.1 Mejorar la gestión integral de residuos.,"12.5 De aquí a 2030, reducir considerablemente la generación de desechos mediante actividades de prevención, reducción, reciclado y reutilización",Parcial,PND_1_4_1,ODS_12_5,ODS_12,PND_1_4
1.4.1 Mejorar la gestión integral de residuos.,"6.3 De aquí a 2030, mejorar la calidad del agua reduciendo la contaminación, eliminando el vertimiento y minimizando la emisión de productos químicos y materiales peligrosos, reduciendo a la mitad el porcentaje de aguas residuales sin tratar y aumentando considerablemente el reciclado y la reutilización sin riesgos a nivel mundial",Parcial,PND_1_4_1,ODS_6_3,ODS_06,PND_1_4
1.4.2 Reducir las muertes atribuibles a la contaminación del aire,"11.6 De aquí a 2030, reducir el impacto ambiental negativo per cápita de las ciudades, incluso prestando especial atención a la calidad del aire y la gestión de los desechos municipales y de otro tipo",Parcial,PND_1_4_2,ODS_11_6,ODS_11,PND_1_4
1.4.2 Reducir las muertes atribuibles a la contaminación del aire,"3.9 Para 2030, reducir sustancialmente el número de muertes y enfermedades producidas por productos químicos peligrosos y la contaminación del aire, el agua y el suelo",Total,PND_1_4_2,ODS_3_9,ODS_03,PND_1_4
1.4.3 Universalizar el acceso a la energía eléctrica y mejorar la calidad en el servicio.,"1.4 Para 2030, garantizar que todos los hombres y mujeres, en particular los pobres y los vulnerables, tengan los mismos derechos a los recursos económicos, así como acceso a los servicios básicos, la propiedad y el control de las tierras y otros bienes, la herencia, los recursos naturales, las nuevas tecnologías apropiadas y los servicios financieros, incluida la micro financiación",Parcial,PND_1_4_3,ODS_1_4,ODS_01,PND_1_4
1.4.3 Universalizar el acceso a la energía eléctrica y mejorar la calidad en el servicio.,"11.1 De aquí a 2030, asegurar el acceso de todas las personas a viviendas y servicios básicos adecuados, seguros y asequibles y mejorar los barrios marginales",Parcial,PND_1_4_3,ODS_11_1,ODS_11,PND_1_4
1.4.3 Universalizar el acceso a la energía eléctrica y mejorar la calidad en el servicio.,"7.1 De aquí a 2030, garantizar el acceso universal a servicios energéticos asequibles, fiables y modernos",Total,PND_1_4_3,ODS_7_1,ODS_07,PND_1_4
1.4.3 Universalizar el acceso a la energía eléctrica y mejorar la calidad en el servicio.,"7.b De aquí a 2030, ampliar la infraestructura y mejorar la tecnología para prestar servicios energéticos modernos y sostenibles para todos en los países en desarrollo, en particular los países menos adelantados, los pequeños Estados insulares en desarrollo y los países en desarrollo sin litoral, en consonancia con sus respectivos programas de apoyo",Parcial,PND_1_4_3,ODS_7_b,ODS_07,PND_1_4
"1.4.4 Reducir el déficit habitacional, cuantitativo y cualitativo.","11.1 De aquí a 2030, asegurar el acceso de todas las personas a viviendas y servicios básicos adecuados, seguros y asequibles y mejorar los barrios marginales",Parcial,PND_1_4_4,ODS_11_1,ODS_11,PND_1_4
1.4.5 Universalizar el acceso a agua potable.,"1.4 Para 2030, garantizar que todos los hombres y mujeres, en particular los pobres y los vulnerables, tengan los mismos derechos a los recursos económicos, así como acceso a los servicios básicos, la propiedad y el control de las tierras y otros bienes, la herencia, los recursos naturales, las nuevas tecnologías apropiadas y los servicios financieros, incluida la micro financiación",Parcial,PND_1_4_5,ODS_1_4,ODS_01,PND_1_4
1.4.5 Universalizar el acceso a agua potable.,"11.1 De aquí a 2030, asegurar el acceso de todas las personas a viviendas y servicios básicos adecuados, seguros y asequibles y mejorar los barrios marginales",Parcial,PND_1_4_5,ODS_11_1,ODS_11,PND_1_4
1.4.5 Universalizar el acceso a agua potable.,"6.1 De aquí a 2030, lograr el acceso universal y equitativo al agua potable a un precio asequible para todos",Total,PND_1_4_5,ODS_6_1,ODS_06,PND_1_4
1.4.5 Universalizar el acceso a agua potable.,"6.4 De aquí a 2030, aumentar considerablemente el uso eficiente de los recursos hídricos en todos los sectores y asegurar la sostenibilidad de la extracción y el abastecimiento de agua dulce para hacer frente a la escasez de agua y reducir considerablemente el número de personas que sufren falta de agua",Parcial,PND_1_4_5,ODS_6_4,ODS_06,PND_1_4
1.4.6 Universalizar el acceso a saneamiento mejorado de la población con énfasis en sistemas de alcantarillado sanitario.,"1.4 Para 2030, garantizar que todos los hombres y mujeres, en particular los pobres y los vulnerables, tengan los mismos derechos a los recursos económicos, así como acceso a los servicios básicos, la propiedad y el control de las tierras y otros bienes, la herencia, los recursos naturales, las nuevas tecnologías apropiadas y los servicios financieros, incluida la micro financiación",Parcial,PND_1_4_6,ODS_1_4,ODS_01,PND_1_4
1.4.6 Universalizar el acceso a saneamiento mejorado de la población con énfasis en sistemas de alcantarillado sanitario.,"11.1 De aquí a 2030, asegurar el acceso de todas las personas a viviendas y servicios básicos adecuados, seguros y asequibles y mejorar los barrios marginales",Parcial,PND_1_4_6,ODS_11_1,ODS_11,PND_1_4
1.4.6 Universalizar el acceso a saneamiento mejorado de la población con énfasis en sistemas de alcantarillado sanitario.,"6.2 De aquí a 2030, lograr el acceso a servicios de saneamiento e higiene adecuados y equitativos para todos y poner fin a la defecación al aire libre, prestando especial atención a las necesidades de las mujeres y las niñas y las personas en situaciones de vulnerabilidad",Parcial,PND_1_4_6,ODS_6_2,ODS_06,PND_1_4
2.1.1 Lograr progresivamente y mantener la tasa de crecimiento del ingreso del 40% de la población con menores ingresos por encima de la tasa promedio del ingreso nacional.,"10.1 De aquí a 2030, lograr progresivamente y mantener el crecimiento de los ingresos del 40% más pobre de la población a una tasa superior a la media nacional",Total,PND_2_1_1,ODS_10_1,ODS_10,PND_2_1
2.1.1 Lograr progresivamente y mantener la tasa de crecimiento del ingreso del 40% de la población con menores ingresos por encima de la tasa promedio del ingreso nacional.,"2.3 Para 2030, duplicar la productividad agrícola y los ingresos de los productores de alimentos en pequeña escala, en particular las mujeres, los pueblos indígenas, los agricultores familiares, los pastores y los pescadores, entre otras cosas mediante un acceso seguro y equitativo a las tierras, a otros recursos de producción e insumos, conocimientos, servicios financieros, mercados y oportunidades para la generación de valor añadido y empleos no agrícolas",Parcial,PND_2_1_1,ODS_2_3,ODS_02,PND_2_1
2.1.1 Lograr progresivamente y mantener la tasa de crecimiento del ingreso del 40% de la población con menores ingresos por encima de la tasa promedio del ingreso nacional.,"8.1 Mantener el crecimiento económico per cápita de conformidad con las circunstancias nacionales y, en particular, un crecimiento del producto interno bruto de al menos el 7% anual en los países menos adelantados",Parcial,PND_2_1_1,ODS_8_1,ODS_08,PND_2_1
"2.1.2 Incrementar la participación de la población en los programas de formación y capacitación técnica profesional de calidad, con énfasis en la población joven y vulnerable.","4.3 De aquí a 2030, asegurar el acceso igualitario de todos los hombres y las mujeres a una formación técnica, profesional y superior de calidad, incluida la enseñanza universitaria",Parcial,PND_2_1_2,ODS_4_3,ODS_04,PND_2_1
"2.1.2 Incrementar la participación de la población en los programas de formación y capacitación técnica profesional de calidad, con énfasis en la población joven y vulnerable.","4.4 De aquí a 2030, aumentar considerablemente el número de jóvenes y adultos que tienen las competencias necesarias, en particular técnicas y profesionales, para acceder al empleo, el trabajo decente y el emprendimiento",Parcial,PND_2_1_2,ODS_4_4,ODS_04,PND_2_1
"2.1.2 Incrementar la participación de la población en los programas de formación y capacitación técnica profesional de calidad, con énfasis en la población joven y vulnerable.","8.6 De aquí a 2020, reducir considerablemente la proporción de jóvenes que no están empleados y no cursan estudios ni reciben capacitación",Total,PND_2_1_2,ODS_8_6,ODS_08,PND_2_1
2.1.3 Universalizar la cobertura de seguridad social.,"1.3 Poner en práctica a nivel nacional sistemas y medidas apropiadas de protección social para todos y, para 2030, lograr una amplia cobertura de los pobres y los más vulnerables.",Total,PND_2_1_3,ODS_1_3,ODS_01,PND_2_1
2.1.3 Universalizar la cobertura de seguridad social.,"10.4 Adoptar políticas, especialmente fiscales, salariales y de protección social, y lograr progresivamente una mayor igualdad",Parcial,PND_2_1_3,ODS_10_4,ODS_10,PND_2_1
2.1.4 Alcanzar la inclusión financiera de todos los adultos.,"1.4 Para 2030, garantizar que todos los hombres y mujeres, en particular los pobres y los vulnerables, tengan los mismos derechos a los recursos económicos, así como acceso a los servicios básicos, la propiedad y el control de las tierras y otros bienes, la herencia, los recursos naturales, las nuevas tecnologías apropiadas y los servicios financieros, incluida la micro financiación",Parcial,PND_2_1_4,ODS_1_4,ODS_01,PND_2_1
2.1.4 Alcanzar la inclusión financiera de todos los adultos.,"10.2 De aquí a 2030, potenciar y promover la inclusión social, económica y política de todas las personas, independientemente de su edad, sexo, discapacidad, raza, etnia, origen, religión o situación económica u otra condición",Parcial,PND_2_1_4,ODS_10_2,ODS_10,PND_2_1
2.1.4 Alcanzar la inclusión financiera de todos los adultos.,"5.a Emprender reformas que otorguen a las mujeres igualdad de derechos a los recursos económicos, así como acceso a la propiedad y al control de la tierra y otros tipos de bienes, los servicios financieros, la herencia y los recursos naturales, de conformidad con las leyes nacionales",Parcial,PND_2_1_4,ODS_5_a,ODS_05,PND_2_1
2.1.4 Alcanzar la inclusión financiera de todos los adultos.,"8.10 Fortalecer la capacidad de las instituciones financieras nacionales para fomentar y ampliar el acceso a los servicios bancarios, financieros y de seguros para todos",Parcial,PND_2_1_4,ODS_8_10,ODS_08,PND_2_1
"2.2.1 Regularizar la tenencia de la tierra, con énfasis en beneficiarios de la reforma agraria.","1.4 Para 2030, garantizar que todos los hombres y mujeres, en particular los pobres y los vulnerables, tengan los mismos derechos a los recursos económicos, así como acceso a los servicios básicos, la propiedad y el control de las tierras y otros bienes, la herencia, los recursos naturales, las nuevas tecnologías apropiadas y los servicios financieros, incluida la micro financiación",Parcial,PND_2_2_1,ODS_1_4,ODS_01,PND_2_2
"2.2.1 Regularizar la tenencia de la tierra, con énfasis en beneficiarios de la reforma agraria.","2.3 Para 2030, duplicar la productividad agrícola y los ingresos de los productores de alimentos en pequeña escala, en particular las mujeres, los pueblos indígenas, los agricultores familiares, los pastores y los pescadores, entre otras cosas mediante un acceso seguro y equitativo a las tierras, a otros recursos de producción e insumos, conocimientos, servicios financieros, mercados y oportunidades para la generación de valor añadido y empleos no agrícolas",Parcial,PND_2_2_1,ODS_2_3,ODS_02,PND_2_2
2.2.10 Aumentar la velocidad de transferencia de datos desde y hacia internet,9.c Aumentar significativamente el acceso a la tecnología de la información y las comunicaciones y esforzarse por proporcionar acceso universal y asequible a Internet en los países menos adelantados de aquí a 2020,Parcial,PND_2_2_10,ODS_9_c,ODS_09,PND_2_2
2.2.2 Mejorar la competitividad de la agricultura familiar y su inserción en los mercados nacionales e internacionales. ,"2.3 Para 2030, duplicar la productividad agrícola y los ingresos de los productores de alimentos en pequeña escala, en particular las mujeres, los pueblos indígenas, los agricultores familiares, los pastores y los pescadores, entre otras cosas mediante un acceso seguro y equitativo a las tierras, a otros recursos de producción e insumos, conocimientos, servicios financieros, mercados y oportunidades para la generación de valor añadido y empleos no agrícolas",Parcial,PND_2_2_2,ODS_2_3,ODS_02,PND_2_2
2.2.2 Mejorar la competitividad de la agricultura familiar y su inserción en los mercados nacionales e internacionales. ,"2.c Adoptar medidas para asegurar el buen funcionamiento de los mercados de productos básicos alimentarios y sus derivados y facilitar el acceso oportuno a información sobre los mercados, en particular sobre las reservas de alimentos, a fin de ayudar a limitar la extrema volatilidad de los precios de los alimentos",Parcial,PND_2_2_2,ODS_2_c,ODS_02,PND_2_2
2.2.2 Mejorar la competitividad de la agricultura familiar y su inserción en los mercados nacionales e internacionales. ,"8.2 Lograr niveles más elevados de productividad económica mediante la diversificación, la modernización tecnológica y la innovación, entre otras cosas centrándose en los sectores con gran valor añadido y un uso intensivo de la mano de obra",Parcial,PND_2_2_2,ODS_8_2,ODS_08,PND_2_2
2.2.3 Consolidar a las universidades en el campo de la investigación y extensión. ,"9.5 Aumentar la investigación científica y mejorar la capacidad tecnológica de los sectores industriales de todos los países, en particular los países en desarrollo, entre otras cosas fomentando la innovación y aumentando considerablemente, de aquí a 2030, el número de personas que trabajan en investigación y desarrollo por millón de habitantes y los gastos de los sectores público y privado en investigación y desarrollo",Parcial,PND_2_2_3,ODS_9_5,ODS_09,PND_2_2
2.2.3 Consolidar a las universidades en el campo de la investigación y extensión. ,"9.b Apoyar el desarrollo de tecnologías, la investigación y la innovación nacionales en los países en desarrollo, incluso garantizando un entorno normativo propicio a la diversificación industrial y la adición de valor a los productos básicos, entre otras cosas",Parcial,PND_2_2_3,ODS_9_b,ODS_09,PND_2_2
2.2.4. Alcanzar y mantener una tasa de crecimiento promedio de la economía que propicie el desarrollo sostenible e inclusivo.,"8.1 Mantener el crecimiento económico per cápita de conformidad con las circunstancias nacionales y, en particular, un crecimiento del producto interno bruto de al menos el 7% anual en los países menos adelantados",Total,PND_2_2_4,ODS_8_1,ODS_08,PND_2_2
